track_id,track_name,album_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,date,streams
25r6MZ4Gtd76l43qnZI1DG,Flocky Flocky (feat. Travis Scott),Life of a DON,Don Toliver,61,183514,0.8,0.541,10,-5.05,0,0.0375,0.0252,0.0,0.146,0.194,135.99,4,['rap'],2021-10-08,3368
2W1Aq2c6PUSHBC0golgHLK,You Wouldn't Understand,Fighting Demons,Juice WRLD,0,170792,0.724,0.748,4,-4.335,0,0.0722,0.0012,0.0,0.132,0.118,158.04,4,"['chicago rap', 'melodic rap', 'rap']",2021-12-10,126139
10ImcQk9tihY1EKMDIbvXJ,To Be Loved,30,Adele,63,403962,0.356,0.176,8,-8.291,1,0.0391,0.843,0.0,0.231,0.289,170.425,1,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,8115
2UwALqx6yOsXTFt7zRxnts,Tell The Vision (feat. Kanye West & Pusha T),Faith,Pop Smoke,56,215000,0.662,0.686,7,-8.302,1,0.332,0.251,5.59e-06,0.349,0.678,143.971,4,"['brooklyn drill', 'hip hop', 'rap']",2021-07-16,104979
7HsjuVBM93Z2RoxjpWLgTT,Richer (feat. Polo G),SoulFly,Rod Wave,0,190459,0.726,0.411,1,-12.929,1,0.0671,0.438,0.0,0.087,0.734,137.905,3,['florida rap'],2021-03-26,60880
0YrMTMLpLq1UIkWgghNM6c,Treacherous (Taylor's Version),Red (Taylor's Version),Taylor Swift,39,242720,0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,4,['pop'],2021-11-12,22767
0v36cov6Z6aEV5ZgIlqZMk,Rockstar In His Prime,Fighting Demons,Juice WRLD,0,180750,0.685,0.729,7,-8.694,0,0.15,0.415,0.0,0.196,0.382,170.025,4,"['chicago rap', 'melodic rap', 'rap']",2021-12-10,12765
1QCqedB1ibmRO9x7Ikb5LI,Ok Ok pt 2,Donda,Kanye West,0,204630,0.641,0.473,11,-9.068,0,0.422,0.406,2.14e-06,0.13,0.412,82.295,4,"['chicago rap', 'hip hop', 'rap']",2021-08-29,59592
3T03rPwlL8NVk1yIaxeD8U,Off My Face,Justice,Justin Bieber,72,156468,0.509,0.228,4,-8.68,1,0.0332,0.92,0.0,0.104,0.586,90.674,4,"['canadian pop', 'pop']",2021-03-19,3670
7bcy34fBT2ap1L4bfPsl9q,I Didn't Change My Number,Happier Than Ever,Billie Eilish,72,158463,0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,4,"['art pop', 'pop']",2021-07-30,2603983
550erGcdD9n6PnwxrvYqZT,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,63,254255,0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,4,['pop'],2021-04-09,198813
